,Food,Description,Ingredients,Calories,Fat,Protein,Carbs
0,French Toast,,,589.38,28.98,15.86,60.73
1,Turkey Sausage Patties,Griddled turkey sausage patty,"Turkey Sausage, Canola Oil",100.8,6.3,8.82,0.0
2,Scrambled Eggs,Softly scrambled cage-free eggs,"Cage-free eggs, canola oil",131.74,8.95,11.11,0.0
3,Fries Wedges Spicy,Crispy-fried and seasoned potato wedges,"Potato wedges (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], enriched flour [bleached wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid]. Contains less than 2% of cellulose gum, paprika oleoresin, turmeric oleoresin, degermed yellow corn meal, dextrose, modified food starch, garlic powder, onion powder, rice flour, salt, spices, disodium dihydrogen pyrophosphate), canola oil, house-made seasoned salt (iodized salt, onion powder, granulated garlic, beet sugar, ground white pepper, ground paprika)",217.89,15.31,1.71,18.34
4,Fiesta Scrambler,"Softly scrambled cage-free eggs with salsa, cheddar cheese and cilantro","Cage-free egg whites, canola oil",95.1,5.18,10.15,0.78
5,Tofu Scramble,"Scrambled firm tofu cooked with onions, bell peppers, and soy sauce.","Organic firm tofu (contains soy), yellow onion, red and green bell peppers, Kikkoman soy sauce (water, soybeans, wheat, salt, sodium benzoate), nutritional yeast, canola oil, garlic, ground turmeric",83.7,5.27,6.91,3.9
6,Breakfast Bar,,,685.82,58.42,36.51,4.0
7,Vanilla Chia Seed Pudding with Blueberrries,"Vanilla chia seed pudding with blueberries, shredded coconut, and toasted almonds","Coconut milk, chia seeds, beet sugar, imitation vanilla (water, vanillin, caramel color, propylene glycol, ethyl vanillin, potassium sorbate), blueberries, shredded sweetened coconut (desiccated coconut processed with sugar, water, propylene glycol, salt, sodium metabisulfite), blanched slivered almonds",448.82,41.51,5.24,20.46
8,Housemade Granola,Crunchy and sweet granola made with mixed nuts and old fashioned rolled oats,"Old fashioned rolled oats (per manufacturer, may contain wheat/gluten), sunflower seeds, seedless raisins, unsalted butter, pure clover honey, peanut-free mixed nuts (cashews, almonds, sunflower oil and/or cottonseed oil, pecans, hazelnuts, dried Brazil nuts, salt), light brown beet sugar, molasses",360.18,17.33,8.03,47.13
9,Fruit Salad,A delicious and nutritious blend of fresh fruit!,,42.3,0.64,0.49,9.79
10,Oatmeal,Hot old-fashioned rolled oats (may contain wheat/gluten),"Whole grain oats (per manufacturer, may contain wheat/gluten) cooked in water and a pinch of salt.",105.04,1.94,3.6,18.85
11,Hard Boiled Eggs,"Cage-free, hard boiled eggs",Cage free eggs,71.5,4.76,6.28,0.36
12,Mini Plain Bagel,"Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy","Enriched unbleached flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, brown sugar, malt (corn syrup, malt syrup), salt, enzyme (wheat flour, enzymes, ascorbic acid), yeast (yeast, sorbitan monostearate, ascorbic acid), dough improver (wheat flour, monoglycerides, ascorbic acid. Contains 2% or less of enzymes, soybean oil), vinegar. Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",359.99,1.5,12.99,71.0
