,Name,Filters,Date,Mealtime,Location,Serving Size,Calories,Fat (g),Carbohydrates (g),Protein (g),Description,Allergens,Ingredients
0,CHEF CHOICE ENTREE,[],"Sunday, February 13, 2022",Breakfast,, 1 EA, -1, -1, -1, -1,,,
1,Fries Wedges Spicy,"['Vegan', 'Halal']","Sunday, February 13, 2022",Breakfast,, 3 oz, 177.55, 12.48, 14.94, 1.4,Crispy-fried and seasoned potato wedges,*Ingredient prepared in a fryer that`s not allergen-free/Gluten/Soybean Oil/Wheat,"Potato wedges (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], enriched flour [bleached wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid]. Contains less than 2% of cellulose gum, paprika oleoresin, turmeric oleoresin, degermed yellow corn meal, dextrose, modified food starch, garlic powder, onion powder, rice flour, salt, spices, disodium dihydrogen pyrophosphate), canola oil, house-made seasoned salt (iodized salt, onion powder, granulated garlic, beet sugar, ground white pepper, ground paprika)"
2,Scrambled Egg Whites,"['Vegetarian', 'Halal', 'Nourish']","Sunday, February 13, 2022",Breakfast,, 3.5 oz, 95.1, 5.18, 0.78, 10.15,,Egg,"Cage-free egg whites, canola oil"
3,Tofu Scramble,"['Vegan', 'Halal', 'Nourish']","Sunday, February 13, 2022",Breakfast,, 3.5 oz, 84.9, 5.34, 3.96, 7,"Scrambled firm tofu cooked with onions, bell peppers, and soy sauce.",Soy/Gluten/Wheat,"Organic firm tofu, yellow onion, red and green bell peppers, Kikkoman soy sauce (water, soybeans, wheat, salt, sodium benzoate), nutritional yeast, canola oil, garlic, ground turmeric"
4,Eggs Fried to Order,"['Vegetarian', 'Halal', 'Nourish']","Sunday, February 13, 2022",Breakfast,, each, 71.5, 4.75, 0.36, 6.28,"Consuming raw or undercooked eggs may increase risk of foodborne illness, especially for those with certain medical conditions",Egg,Eggs
5,Butternut Squash Omelet,"['Vegetarian', 'Halal']","Sunday, February 13, 2022",Breakfast,, 1 SV, 712.66, 59.61, 17.36, 29.55,"Fluffy omelet filled with butternut squash, Brussels sprouts, and our house almond Romescu sauce",Egg/Mushroom/Dairy/Tree Nuts,"Cage-free eggs, butternut squash (prepared with canola oil and iodized salt), roasted Brussels sprouts (Brussels sprouts, Balsamic vinegar, garlic, iodized salt, canola oil), canola/olive oil blend, house Romescu spread (red bell pepper, almonds, red wine vinegar, canola/olive oil blend, garlic, iodized salt, black caraway seed, ground cumin), Balsamic-marinated  mushrooms (Crimini mushrooms, Portobello mushrooms, canola/olive oil blend, Balsamic vinegar, fresh rosemary, Shiitake mushrooms, kosher salt, ground black pepper), house-made caramelized onion jam (yellow onion, gluten-free vegetable broth [vegetables {onions, celery, carrots}, maltodextrin, sugar, autolyzed yeast extract, onion powder, salt, water, corn oil, potassium chloride, carrot powder, modified tapioca starch, carrot juice concentrate, tomato paste, garlic powder, disodium guanylate, disodium inosinate, natural flavor, potassium sorbate, citric acid, extractives of paprika], extra virgin olive oil, Balsamic vinegar, light brown beet sugar, iodized salt, ground black pepper), Feta cheese"
6,Protein Omelet,[],"Sunday, February 13, 2022",Breakfast,, 1 SV, 1397.81, 134.42, 3.79, 50.21,"Fluffy omelet filled with bacon, sausage, and Cheddar cheese",Dairy/Egg/Mushroom/Gluten/Soy/Wheat,"Cage-free eggs, canola/olive oil blend, beef and ham gravy (house beef gravy [beef, unbleached hi-gluten flour {wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid}, beef soup base {beef stock, maltodextrin, salt, sugar, yeast extract, beef fat, onion powder, natural flavor, beef extract}, canola oil, corn starch, light soy sauce {water, soybeans, wheat, salt, lactic acid, sodium benzoate. Per manufacturer, may contain eggs, fish, dairy, peanuts, shellfish, and tree nuts}, tomato, balsamic vinegar {wine vinegar, cooked and concentrated grape, caramel coloring}, carrots, celery, mushroom, yellow onion, browning sauce, garlic, iodized salt, ground black pepper, thyme], MSG-free ham soup base [ground & formed smoked ham {cured with water, salt, sodium lactate, natural hickory smoke flavor, corn syrup, dextrose, sodium phosphates, sugar, sodium diacetate, sodium erythorbate, sodium nitrite}, salt, maltodextrin, sugar, dextrose, hydrolyzed corn protein, natural flavors. Contains 2% or less of corn oil, modified corn starch, disodium inosinate, disodium guanylate, spices, lactic acid], beet sugar, organic fair-trade decaf ground coffee), mild yellow Cheddar cheese (cultured pasteurized milk, salt, enzymes, annatto, corn starch, potato starch, powdered cellulose, natamycin), bacon, Andouille sausage (pork, water, salt, dextrose, spices, paprika, garlic, natural smoke flavoring, sodium nitrite), chicken apple sausage (chicken, dehydrated apple, salt, spices, sugar, onion powder, in a pork casing)"
7,Cheese Omelet,"['Vegetarian', 'Halal']","Sunday, February 13, 2022",Breakfast,, 1 EA, 616.95, 53.92, 0.51, 30.24,Fluffy egg omelet filled with Cheddar and Monterey Jack cheese,Dairy/Egg,"Cage-free eggs, canola/olive oil blend, mild yellow Cheddar cheese (pasteurized milk, cheese culture, salt, enzymes, annatto, potato starch, corn starch, powdered cellulose), Monterey Jack cheese (pasteurized milk, cheese culture, salt, enzymes, potato starch, corn starch and powdered cellulose)"
8,Vanilla Chia Seed Pudding with Blueberrries,"['Vegan', 'Halal']","Sunday, February 13, 2022",Breakfast,, 1 serving, 392.93, 36.34, 17.91, 4.59,"Vanilla chia seed pudding with blueberries, shredded coconut, and toasted almonds",Tree Nuts/Coconut,"Coconut milk, chia seeds, beet sugar, imitation vanilla (water, vanillin, caramel color, propylene glycol, ethyl vanillin, potassium sorbate), blueberries, shredded sweetened coconut (desiccated coconut processed with sugar, water, propylene glycol, salt, sodium metabisulfite), blanched slivered almonds"
9,Housemade Granola,"['Vegetarian', 'Halal', 'Nourish']","Sunday, February 13, 2022",Breakfast,, 1/2 cup, 360.18, 17.33, 47.13, 8.03,Crunchy and sweet granola made with mixed nuts and old fashioned rolled oats,Gluten/Wheat/Dairy/Peanuts/Tree Nuts,"Old fashioned rolled oats (per manufacturer, may contain wheat/gluten), sunflower seeds, seedless raisins, unsalted butter, pure clover honey, peanut-free mixed nuts (cashews, almonds, sunflower oil and/or cottonseed oil, pecans, hazelnuts, dried Brazil nuts, salt), light brown beet sugar, molasses"
10,Fruit Salad,"['Vegan', 'Halal', 'Nourish']","Sunday, February 13, 2022",Breakfast,,  1/2 Cup, 42.3, 0.64, 9.79, 0.49,A delicious and nutritious blend of fresh fruit!,,"Cantaloupe, pineapple, red grapes, honeydew melon"
