,Name,Location,Mealtime,Date,Filters,Description,Serving_Size,Calories,Fat,Carbohydrates,Protein,Allergens,Ingredients
0,French Toast,Pacific Fusion,Breakfast,"Sunday, January 30, 2022","['Vegetarian', 'Halal']",,1 SV,589.38,28.98,60.73,15.86,Dairy/Egg/Gluten/Soy/Soybean Oil/Wheat,
1,Turkey Sausage Patties,Pacific Fusion,Breakfast,"Sunday, January 30, 2022",['Nourish'],Griddled turkey sausage patty,patty,100.8,6.3,0,8.82,No Major Allergens,"Turkey Sausage, Canola Oil"
2,Scrambled Eggs,Pacific Fusion,Breakfast,"Sunday, January 30, 2022","['Vegetarian', 'Halal', 'Nourish']",Softly scrambled cage-free eggs,3 oz,131.74,8.95,0,11.11,Egg,"Cage-free eggs, canola oil"
3,Fries Wedges Spicy,Pacific Fusion,Breakfast,"Sunday, January 30, 2022","['Vegan', 'Halal']",Crispy-fried and seasoned potato wedges,3 oz,217.89,15.31,18.34,1.71,*Ingredient prepared in a fryer that`s not allergen-free/Gluten/Soybean Oil/Wheat,"Potato wedges (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], enriched flour [bleached wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid]. Contains less than 2% of cellulose gum, paprika oleoresin, turmeric oleoresin, degermed yellow corn meal, dextrose, modified food starch, garlic powder, onion powder, rice flour, salt, spices, disodium dihydrogen pyrophosphate), canola oil, house-made seasoned salt (iodized salt, onion powder, granulated garlic, beet sugar, ground white pepper, ground paprika)"
4,Fiesta Scrambler,Pacific Fusion,Breakfast,"Sunday, January 30, 2022","['Vegetarian', 'Halal', 'Nourish']","Softly scrambled cage-free eggs with salsa, cheddar cheese and cilantro",3.5 oz,95.1,5.18,0.78,10.15,Egg/Dairy,"Cage-free egg whites, canola oil"
5,Tofu Scramble,Pacific Fusion,Breakfast,"Sunday, January 30, 2022","['Vegan', 'Halal', 'Nourish']","Scrambled firm tofu cooked with onions, bell peppers, and soy sauce.",3 oz,83.7,5.27,3.9,6.91,Soy/Gluten/Wheat,"Organic firm tofu (contains soy), yellow onion, red and green bell peppers, Kikkoman soy sauce (water, soybeans, wheat, salt, sodium benzoate), nutritional yeast, canola oil, garlic, ground turmeric"
6,Breakfast Bar,Pacific Fusion,Breakfast,"Sunday, January 30, 2022",[],,3 oz,685.82,58.42,4,36.51,All Major Allergens ,
7,Vanilla Chia Seed Pudding with Blueberrries,Fresh Inspirations,Breakfast,"Sunday, January 30, 2022","['Vegan', 'Halal']","Vanilla chia seed pudding with blueberries, shredded coconut, and toasted almonds",1 serving,448.82,41.51,20.46,5.24,Tree Nuts/Coconut,"Coconut milk, chia seeds, beet sugar, imitation vanilla (water, vanillin, caramel color, propylene glycol, ethyl vanillin, potassium sorbate), blueberries, shredded sweetened coconut (desiccated coconut processed with sugar, water, propylene glycol, salt, sodium metabisulfite), blanched slivered almonds"
8,Housemade Granola,Fresh Inspirations,Breakfast,"Sunday, January 30, 2022","['Vegetarian', 'Halal', 'Nourish']",Crunchy and sweet granola made with mixed nuts and old fashioned rolled oats,1/2 cup,360.18,17.33,47.13,8.03,Gluten/Wheat/Dairy/Peanuts/Tree Nuts,"Old fashioned rolled oats (per manufacturer, may contain wheat/gluten), sunflower seeds, seedless raisins, unsalted butter, pure clover honey, peanut-free mixed nuts (cashews, almonds, sunflower oil and/or cottonseed oil, pecans, hazelnuts, dried Brazil nuts, salt), light brown beet sugar, molasses"
9,Fruit Salad,Fresh Inspirations,Breakfast,"Sunday, January 30, 2022","['Vegan', 'Halal', 'Nourish']",A delicious and nutritious blend of fresh fruit!, 1/2 Cup,42.3,0.64,9.79,0.49,,"Cantaloupe, pineapple, red grapes, honeydew melon"
